name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Jason Witt,19,9,0,177.8,77.11,177.8,Orthodox,2.15,44.0,2.54,52.0,6.9,48.0,100.0,0.9,38
Garett Whiteley,7,3,0,182.88,70.31,182.88,Orthodox,3.72,48.0,4.04,46.0,0.0,0.0,27.0,0.9,44
Maciej Jewtuszko,12,3,0,182.88,70.31,182.88,Southpaw,2.29,45.0,1.39,66.0,0.0,0.0,42.0,0.9,44
Cyril Asker,9,4,0,182.88,112.04,187.96,Orthodox,3.35,39.0,5.82,35.0,4.41,62.0,100.0,0.9,39
Jumabieke Tuerxun,19,4,1,170.18,61.23,170.18,Orthodox,1.6,28.0,3.08,59.0,0.47,11.0,66.0,0.9,38
Roosevelt Roberts,12,5,0,187.96,70.31,185.42,Orthodox,3.05,44.0,3.12,52.0,1.39,29.0,52.0,0.9,31
Maurice Smith,12,14,0,187.96,100.24,187.96,Orthodox,0.41,46.0,0.47,60.0,0.89,50.0,20.0,0.9,63
Bryan Baker,18,5,0,190.5,83.91,190.5,Orthodox,1.78,52.0,2.83,45.0,0.44,50.0,37.0,0.9,39
Glover Teixeira,33,9,0,187.96,92.99,193.04,Orthodox,3.73,49.0,4.43,51.0,2.11,33.0,60.0,0.9,45
Matheus Nicolau,19,4,1,167.64,56.7,167.64,Orthodox,3.66,53.0,3.14,66.0,1.48,45.0,93.0,0.9,32
James Krause,28,9,0,187.96,77.11,185.42,Orthodox,4.79,49.0,4.11,61.0,0.96,18.0,59.0,0.9,38
Roger Narvaez,8,3,0,190.5,83.91,190.5,Southpaw,2.12,37.0,3.32,64.0,0.0,0.0,50.0,0.9,41
Umar Nurmagomedov,16,0,0,172.72,61.23,175.26,Orthodox,4.85,70.0,0.73,75.0,4.28,45.0,100.0,0.9,29
